,,ACC__X,ACC__Y,ACC__Z,EDA,BTN,EMG__1_fa-o-t-r,EMG__2_fa-i-t-r,EMG__3_fa-i-b-r,EMG__4_fa-o-b-r,EMG__5_fa-o-t-l,EMG__6_fa-i-t-l,EMG__7_fa-i-b-l,EMG__8_fa-o-b-l,GRD
53,port,1,2,3,,,1,2,3,4,5,6,7,8,
53,hub,99,99,99,99,99,98,98,98,98,98,98,98,98,col-l
52,port,1,2,3,,,1,2,3,4,5,6,7,8,
52,hub,99,99,99,99,99,98,98,98,98,98,98,98,98,col-l
51,port,1,2,3,,,1,2,3,4,5,6,7,8,
51,hub,99,99,99,99,99,98,98,98,98,98,98,98,98,col-l
50,port,1,2,3,,,1,2,3,4,5,6,7,8,
50,hub,99,99,99,99,99,98,98,98,98,98,98,98,98,col-l
49,port,1,2,3,5,6,1,2,3,4,5,6,7,8,
49,hub,99,99,99,99,99,98,98,98,98,98,98,98,98,
48,port,1,2,3,4,,1,2,3,4,5,6,7,8,
48,hub,99,99,99,99,,98,98,98,98,98,98,98,98,
47,port,1,2,3,4,5,1,2,3,4,5,6,7,8,
47,hub,99,99,99,99,99,98,98,98,98,98,98,98,98,col-l
46,port,1,2,3,4,5,1,2,3,4,5,6,7,8,
46,hub,99,99,99,99,99,98,98,98,98,98,98,98,98,col-l
45,port,1,2,3,4,5,1,2,3,4,5,6,7,8,
45,hub,99,99,99,99,99,98,98,98,98,98,98,98,98,col-l
44,port,1,2,3,4,5,1,2,3,4,5,6,7,8,
44,hub,99,99,99,99,99,98,98,98,98,98,98,98,98,col-l
43,port,1,2,3,4,5,1,2,3,4,5,6,7,8,
43,hub,99,99,99,99,99,98,98,98,98,98,98,98,98,col-l
42,port,1,2,3,4,5,1,2,3,4,5,6,7,8,
42,hub,99,99,99,99,99,98,98,98,98,98,98,98,98,col-l
41,port,5,6,7,1,2,1,2,3,4,5,6,7,8,
41,hub,99,99,99,99,99,98,98,98,98,98,98,98,98,col-l
40,port,5,6,7,1,2,1,2,3,4,5,6,7,8,
40,hub,99,99,99,99,99,98,98,98,98,98,98,98,98,col-l
39,port,5,6,7,1,2,1,2,3,4,5,6,7,8,
39,hub,99,99,99,99,99,98,98,98,98,98,98,98,98,col-l
38,port,5,6,7,1,2,1,2,3,4,5,6,7,8,
38,hub,99,99,99,99,99,98,98,98,98,98,98,98,98,col-l
37,port,5,6,7,1,2,1,2,3,4,5,6,7,8,
37,hub,99,99,99,99,99,98,98,98,98,98,98,98,98,col-l
36,port,5,6,7,1,2,1,2,3,4,5,6,7,8,
36,hub,99,99,99,99,99,98,98,98,98,98,98,98,98,col-l
35,port,1,2,3,4,5,1,2,3,4,5,6,7,8,
35,hub,99,99,99,99,99,98,98,98,98,98,98,98,98,col-l
34,port,1,2,3,4,6,1,2,3,4,5,6,7,8,
34,hub,98,98,98,98,,99,99,99,99,99,99,99,99,
33,port,1,2,3,4,,1,2,3,4,5,6,7,8,
33,hub,98,98,98,98,,99,99,99,99,99,99,99,99,
32,port,1,2,3,,,1,2,3,4,5,6,7,8,
