session,table-side,table-top,back,counter-top,ceiling,front,counter-side,Note
1,3,0,1,2,-1,-1,-1,
2,5,1,2,4,-1,3,0,
3,-1,0,1,-1,4,2,3,
4,-1,-1,1,4,5,2,3,
5,4,3,1,5,0,2,-1,
6,1,2,3,0,4,5,-1,
7,5,4,3,2,1,0,-1,
8,5,4,3,2,1,0,-1,
9,0,2,4,1,5,3,-1,
10,0,4,5,2,1,3,-1,
11,0,4,5,2,1,3,-1,
12,5,1,4,3,2,0,-1,
13,5,1,4,3,2,0,-1,
14,5,1,4,3,2,0,-1,
15,5,1,4,3,2,0,-1,
16,5,1,4,3,2,0,-1,
17,4,5,2,3,1,0,-1,
18,5,1,4,3,2,0,-1,
19,5,1,4,3,2,0,-1,
20,5,1,4,3,2,0,-1,
21,5,1,4,3,2,0,-1,
22,3,2,1,5,4,0,-1,
23,1,3,2,5,4,0,-1,
24,5,2,1,4,3,0,-1,
25,5,2,1,4,3,0,-1,
26,5,2,1,4,3,0,-1,
27,2,3,1,5,4,0,-1,
28,5,2,1,4,3,0,-1,
29,4,1,0,3,2,5,-1,
30,2,3,1,4,5,0,-1,
31,5,2,1,4,3,0,-1,
32,3,1,4,5,2,0,-1,
33,5,4,0,2,3,1,-1,
34,5,4,0,2,3,1,-1,
35,5,4,0,2,3,1,-1,
36,4,0,5,1,3,2,-1,
37,4,0,5,1,3,2,-1,
38,4,0,5,1,3,2,-1,
39,4,0,5,1,3,2,-1,
40,4,0,5,1,3,2,-1,
41,4,0,5,1,3,2,-1,
42,4,0,5,1,3,2,-1,
43,4,0,5,1,3,2,-1,
44,4,0,5,1,3,2,-1,
45,3,0,4,1,5,2,-1,
46,3,0,4,1,5,2,-1,
47,3,0,4,1,5,2,-1,
48,3,0,4,1,5,2,-1,
49,3,0,4,1,5,2,-1,
50,3,0,4,1,5,2,-1,
51,3,0,4,1,5,2,-1,
52,3,0,4,1,5,2,-1,
53,4,0,5,1,3,2,-1,
54,4,0,5,1,3,2,-1,
55,4,1,5,0,3,2,-1,
56,4,1,5,0,3,2,-1,
